Noun;Frequency_per_Million;Translation;CEFR
die Kinderzeitschrift;18.72;детский журнал;A2
die Kontoeröffnung;18.72;открытие счёта;A2
die Annahme;18.72;предположение, принятие;A2
die Debatte;18.73;дебаты;A2
die Gehaltserhöhung;18.73;повышение зарплаты;A2
der Wald;18.73;лес;A2
der Versuch;18.73;попытка, эксперимент;A2
der Umsatz;18.73;оборот;A2
der Zeitpunkt;18.74;момент времени;A2
die Empfindung;18.74;ощущение, чувство;A2
die Käseplatte;18.74;сырная тарелка;A2
die Installation;18.76;установка;A2
die Gemüsesorte;18.77;вид овощей;A2
die Fledermaus;18.78;летучая мышь;A2
die Krankenhausleitung;18.78;руководство больницы;A2
die Notenskala;18.81;шкала оценок;A2
die Geheimzahl;18.82;PIN-код;A2
die Erzählung;18.82;повествование;A2
die Bezahlung;18.82;оплата;A2
die Hummel;18.83;шмель;A2
die Lagune;18.83;лагуна;A2
die Sandrasselotter;18.84;песчаная гремучая змея;B1
die Jagd;18.84;охота;A2
die Gewissheit;18.84;уверенность;A2
die Kleingartenanlage;18.84;садоводческое товарищество;A2
die Kassette;18.89;кассета;A2
der Unterricht;18.89;урок, занятия;A2
die Bedienung;18.91;обслуживание;A2
der Spaß;18.91;веселье, шутка;A1
das System;18.91;система;A2
die Absicht;18.92;намерение;A2
die Berufsausbildung;18.92;профессиональное образование;A2
die Halbzeit;18.92;перерыв (в спорте), полувремя;A2
die Konzerthalle;18.92;концертный зал;A2
die Industrieanlage;18.92;промышленное предприятие;A2
die Kohlensäure;18.93;углекислота;A2
der Tod;18.94;смерть;A2
die Lederware;18.94;изделие из кожи;A2
die Branche;18.96;отрасль;A2
die Flüssigkeit;18.96;жидкость;A2
der Zweck;18.98;цель;A2
die Innenpolitik;19.01;внутренняя политика;A2
der Verein;19.01;клуб, объединение;A2
die Entspannung;19.01;расслабление;A2
die Anzahl;19.02;количество;A2
der Staat;19.02;государство;A2
die Mordserie;19.03;серия убийств;A2
die Beratung;19.03;консультация;A2
die Fahne;19.03;флаг;A2
die Kontokarte;19.03;карта к счёту;A2
die Gurke;19.03;огурец;A2
die Kaiserin;19.04;императрица;A2
der Vertrag;19.04;договор;A2
die Hochzeitsfeier;19.08;свадебное торжество;A2
die Digitalkamera;19.09;цифровая камера;A2
die Kreativität;19.09;креативность;A2
die Einnahme;19.11;доход, приём (лекарства);A2
die Interpretation;19.11;толкование, интерпретация;A2
die Aktion;19.11;акция;A2
die Kutsche;19.12;повозка;A2
die Freundlichkeit;19.12;доброжелательность;A2
die Kontaktaufnahme;19.12;установление контакта;A2
die Kanne;19.13;чайник, кувшин;A2
die Berufsschule;19.13;профессиональное училище;A2
die Mappe;19.13;папка;A2
die Himbeere;19.14;малина;A2
die Fernbedienung;19.14;пульт;A2
die Gaststätte;19.14;ресторан, кафе;A2
die Perücke;19.14;парик;A2
die Riesenschildkröte;19.17;гигантская черепаха;A2
die Drogerie;19.17;аптека/магазин бытовых товаров;A2
die Glühbirne;19.17;лампочка;A2
die Norwegerin;19.18;норвежка;A2
der Unfall;19.21;авария;A2
die Französin;19.21;француженка;A2
die Offerte;19.21;предложение;A2
die Hypothese;19.22;гипотеза;A2
die Lesung;19.22;чтение (литературное);A2
die Kanzlei;19.22;канцелярия;A2
die Datei;19.22;файл;A2
die Bedienungsanleitung;19.22;инструкция по эксплуатации;A2
die Intelligenz;19.23;интеллект;A2
der Zuschauer;19.23;зритель;A2
die Arbeitsstelle;19.24;рабочее место;A2
die Hexe;19.24;ведьма;A2
die Bundesregierung;19.24;федеральное правительство;A2
die Grünen;19.26;партия зелёных;A2
die Erlaubnis;19.27;разрешение;A2
die Halskette;19.27;ожерелье;A2
die Ausnahme;19.28;исключение;A2
der Traum;19.28;сон, мечта;A2
die Einwohnerin;19.31;жительница;A2
die Mythologie;19.31;мифология;A2
die Komödie;19.31;комедия;A2
die Demokratie;19.31;демократия;A2
die Krebserkrankung;19.32;онкологическое заболевание;A2
die Linke;19.33;левая сторона, левая партия;A2
der Vorschlag;19.34;предложение;A2
die Diät;19.34;диета;A2
die Existenz;19.34;существование;A2
die Arbeitszeit;19.36;рабочее время;A2
die Finanzen;19.36;финансы;A2
die Personalverwaltung;19.37;отдел кадров;A2
die Sandotter;19.38;гадюка;A2
die Lokomotive;19.38;локомотив;A2
die Riesenschlange;19.41;гигантская змея;A2
die Bedingung;19.41;условие;A2
die Hauptschule;19.41;школа 5–9 классы;A2
die Kontonummer;19.42;номер счёта;A2
die Lebensgewohnheit;19.43;жизненная привычка;A2
die Krimiserie;19.44;детективный сериал;A2
die DVD;19.44;DVD;A2
die Preisübersicht;19.46;обзор цен;A2
die Kosmetik;19.47;косметика;A2
die Empfehlung;19.48;рекомендация;A2
die Kleinigkeit;19.51;мелочь;A2
die Malediven;19.56;Мальдивы;A2
die Niederländerin;19.57;нидерландка;A2
die Massage;19.61;массаж;A2
die Diskussion;19.62;дискуссия;A2
die Eigenschaft;19.62;свойство, качество;A2
die Raucherecke;19.63;место для курения;A2
die Gebrauchsanweisung;19.63;инструкция по применению;A2
die Erholung;19.64;отдых, восстановление;A2
die Sofortbildkamera;19.67;моментальная камера;A2
die Kirsche;19.68;вишня;A2
die Presseabteilung;19.69;пресс-служба;A2
die Bevölkerung;19.71;население;A2
die Sowjetarmee;19.71;советская армия;A2
die Linsen;19.71;чечевица;A2
die Kalorie;19.72;калория;A2
die Geduld;19.72;терпение;A2
die Seeanemone;19.72;актиния;A2
die Offenheit;19.73;открытость;A2
die Aussage;19.73;высказывание, заявление;A2
die Lotterie;19.74;лотерея;A2
die Preisliste;19.74;прайс-лист;A2
die Koalition;19.74;коалиция;A2
die Angst;19.76;страх;A2
die Pharmaindustrie;19.76;фармацевтическая промышленность;A2
die Bildung;19.76;образование;A2
die Regierungsperiode;19.77;срок полномочий правительства;B1
die Erinnerung;19.77;воспоминание;A2
die Hölle;19.77;ад;A2
die Lebensform;19.78;форма жизни;A2
die Reisegewohnheit;19.79;привычка путешествовать;A2
die Partnersuche;19.79;поиск партнёра;A2
die Kerze;19.81;свеча;A2
die Plastiktüte;19.82;полиэтиленовый пакет;A2
die Rechnungsnummer;19.82;номер счёта;A2
die Meinungsäußerung;19.82;высказывание мнения;A2
der Vorteil;19.83;преимущество;A2
die Chance;19.83;шанс;A2
die Einführung;19.83;введение;A2
die Gewerkschaft;19.83;профсоюз;A2
die Grundschule;19.83;начальная школа;A2
die Konzentration;19.84;концентрация;A2
die Mikrowelle;19.84;микроволновка;A2
die Sonntagsvorstellung;19.84;воскресный сеанс;A2
die Portugiesin;19.84;португалка;A2
die Erklärung;19.86;объяснение;A2
die Leistungsfähigkeit;19.87;работоспособность;A2
die Sommerresidenz;19.87;летняя резиденция;A2
die Neuigkeit;19.88;новость;A2
die Petersilie;19.88;петрушка;A2
die Art;19.89;вид, тип;A2
die Pflanzenart;19.92;вид растения;A2
der Wagen;19.92;машина, вагон;A2
die Medaille;19.92;медаль;A2
die Haut;19.92;кожа;A2
die Ehe;19.94;брак;A2
die Risikobereitschaft;19.98;готовность к риску;A2
die Landesregierung;20.01;земное правительство;A2
die Gebühr;20.01;плата, сбор;A2
die Kopie;20.01;копия;A2
die Grundlage;20.01;основа;A2
die Panne;20.02;неполадка;A2
die Karriere;20.02;карьера;A2
die Schließungszeit;20.03;время закрытия;A2
die Luftverschmutzung;20.03;загрязнение воздуха;A2
die Gelegenheit;20.03;возможность, случай;A2
die Qualle;20.04;медуза;A2
die Leitung;20.04;руководство;A2
die Not;20.06;нужда, беда;A2
die Plastikflasche;20.07;пластиковая бутылка;A2
die Kette;20.07;цепочка;A2
die Praktikantin;20.08;практикантка;A2
die Segelschule;20.08;школа парусного спорта;A2
die Langeweile;20.09;скука;A2
die Sojabohne;20.09;соевый боб;A2
die Figur;20.09;фигура;A2
die Lippe;20.11;губа;A2
die Pistole;20.11;пистолет;A2
die Schreibware;20.12;канцелярские товары;A2
die Energie;20.12;энергия;A2
die Radiosendung;20.12;радиопередача;A2
die Ausbildung;20.12;образование;A2
die Kenntnis;20.12;знание;A2
die Mücke;20.12;комар;A2
die Meinungsumfrage;20.13;опрос мнения;A2
die Sellerie;20.13;сельдерей;A2
die Naturkatastrophe;20.13;природная катастрофа;A2
die Notiz;20.13;заметка;A2
die Spitzmaus;20.14;землеройка;A2
die Premierministerin;20.14;премьер-министр (жен.);A2
die Rubrik;20.14;рубрика;A2
die Königin;20.16;королева;A2
die Maus;20.16;мышь;A2
die Kreuzfahrt;20.17;круиз;A2
die Ernährung;20.17;питание;A2
die Maske;20.18;маска;A2
die Schlafstörung;20.18;нарушение сна;A2
die Kontrolle;20.18;контроль;A2
die Spielrunde;20.18;игровой раунд;A2
die Lieferung;20.18;доставка;A2
die Funktion;20.18;функция;A2
die Polin;20.21;полька;A2
die Mauer;20.21;стена;A2
die Prämie;20.22;премия;A2
die Skizze;20.23;эскиз;A2
die Katastrophe;20.24;катастрофа;A2
die Niederlage;20.24;поражение;A2
die Reiseunterlage;20.24;документы для поездки;A2
die Laune;20.24;настроение;A2
die Residenz;20.26;резиденция;A2
die Kindheit;20.26;детство;A2
die Realschule;20.27;реальная школа;A2
die Metropole;20.27;метрополия;A2
die Nationalfahne;20.27;национальный флаг;A2
die Plastik;20.29;пластик;A2
die Sanierung;20.29;реконструкция;A2
die Erfahrung;20.29;опыт;A2
die Reparaturarbeit;20.31;ремонтные работы;A2
die Opposition;20.31;оппозиция;A2
die Folge;20.31;последствие, серия;A2
die Sonderaktion;20.32;специальная акция;A2
die Methode;20.33;метод;A2
die Schulausbildung;20.33;школьное образование;A2
die Reinigungskraft;20.34;уборщица;A2
die Entscheidung;20.34;решение;A2
die Schwägerin;20.34;золовка, свояченица;A2
die Gesellschaft;20.34;общество;A2
die Rumänin;20.36;румынка;A2
die Handlung;20.36;действие, сюжет;A2
die Quelle;20.36;источник;A2
die Kirche;20.37;церковь;A2
die Naturwissenschaft;20.37;естественная наука;A2
die Lebensqualität;20.38;качество жизни;A2
die Notwendigkeit;20.38;необходимость;A2
die Hilfe;20.38;помощь;A1
die Stangensellerie;20.38;стебель сельдерея;A2
die Oper;20.41;опера;A2
die Schulpflicht;20.41;обязательное школьное образование;A2
die Form;20.42;форма;A2
die Grenze;20.42;граница;A2
die Philosophie;20.43;философия;A2
die Sparmaßnahme;20.43;мера экономии;A2
die Partnerschaft;20.44;партнёрство;A2
die Reklamation;20.47;претензия, жалоба;A2
die Entwicklung;20.48;развитие;A2
die Stressbewältigung;20.48;справление со стрессом;A2
die Kritik;20.48;критика;A2
die Klasse;20.48;класс;A2
die Physik;20.53;физика;A2
die Freude;20.61;радость;A2
die Pyramide;20.61;пирамида;A2
die Spitzenklasse;20.62;высший класс;A2
die Professorin;20.63;профессор (жен.);A2
die Hoffnung;20.66;надежда;A2
die Sauberkeit;20.67;чистота;A2
die Südsee;20.74;Южные моря;A2
die Sinfonie;20.74;симфония;A2
die Maßnahme;20.74;мера;A2
die Rentenversicherung;20.77;пенсионное страхование;A2
die Spionage;20.78;шпионаж;A2
die Staatsform;20.81;форма правления;A2
die Macht;20.81;власть;A2
die Natur;20.84;природа;A2
die Slowakei;20.84;Словакия;A2
die Persönlichkeit;20.86;личность;A2
die Polizistin;20.87;полицейская;A2
die Reisekosten;20.88;расходы на поездку;A2
die Puppe;20.89;кукла;A2
die Verhüllung;20.91;укрытие, маскировка;A2
die Süßspeise;20.91;сладкое блюдо;A2
die Hochzeit;20.91;свадьба;A2
die Leistung;20.91;успех, результат;A2
die Mannschaft;20.92;команда;A2
die Note;20.92;оценка, нота;A2
die Schnecke;20.94;улитка;A2
die mittlere;20.94;средняя (как сущ.);A2
die Stereoanlage;20.94;стереосистема;A2
die Mode;20.96;мода;A2
die Schwiegermutter;20.96;тёща, свекровь;A2
die Umweltagentur;20.96;агентство по охране окружающей среды;A2
die Straßenbeleuchtung;20.96;уличное освещение;A2
die Steuererhöhung;20.97;повышение налогов;A2
die Skulptur;21.01;скульптура;A2
die Staatspräsidentin;21.02;президент (жен.);A2
die Reinigung;21.02;уборка, чистка;A2
die Schlagzeile;21.02;заголовок;A2
die Unpünktlichkeit;21.03;непунктуальность;A2
die Organisation;21.04;организация;A2
die Presse;21.06;пресса;A2
die Reisegruppe;21.08;группа туристов;A2
die Steckdose;21.08;розетка;A2
die Traumpartnerin;21.09;партнёрша мечты;A2
die Rundfahrt;21.11;обзорная поездка;A2
die Touristengegend;21.11;туристический район;A2
die Spielwaren;21.12;игрушки;A2
die Serie;21.12;сериал;A2
die Republik;21.13;республика;A2
die Pflanze;21.16;растение;A2
die Reaktion;21.17;реакция;A2
die Trommel;21.18;барабан;A2
die Städtereise;21.18;путешествие по городам;A2
die Schulzeit;21.18;школьное время;A2
die Unterhaltungselektronik;21.21;развлекательная электроника;A2
die Realität;21.21;реальность;A2
die Studienrichtung;21.22;направление обучения;A2
die Stadtrundfahrt;21.22;обзорная экскурсия по городу;A2
die Versuchsperson;21.22;испытуемый;A2
die Schulden;21.23;долги;A2
die Station;21.26;станция;A2
die Tageszeit;21.26;время суток;A2
die Verkaufsabteilung;21.26;отдел продаж;A2
die Stiftung;21.26;фонд;A2
die Sonnenenergie;21.27;солнечная энергия;A2
die Trockenheit;21.28;засуха, сухость;A2
die Walpurgisnacht;21.29;ночь Вальпургии;A2
die Politik;21.32;политика;A2
die Straftat;21.33;преступление;A2
die Sozialversicherung;21.33;социальное страхование;A2
die Sendung;21.34;передача;A2
die Umstrukturierung;21.34;реструктуризация;A2
die Verkehrsdurchsage;21.37;дорожное объявление;A2
die Umgangsform;21.37;форма общения;A2
die Traumfrau;21.38;женщина мечты;A2
die Spinne;21.41;паук;A2
die Unionspartei;21.41;партия Союза;A2
die Religion;21.42;религия;A2
die Variation;21.42;вариация;A2
die Qualität;21.42;качество;A2
die Täterin;21.46;преступница;A2
die Schlange;21.46;змея, очередь;A2
die Wärmeeinwirkung;21.46;тепловое воздействие;A2
die Stellung;21.47;позиция;A2
die Software;21.48;программное обеспечение;A2
die Taschenlampe;21.48;фонарик;A2
die Szene;21.49;сцена;A2
die Regierung;21.53;правительство;A2
die Teilzeit;21.53;неполный рабочий день;A2
die Ruhe;21.54;покой;A2
die Spitze;21.58;верхушка, остриё;A2
die Umweltkatastrophe;21.59;экологическая катастрофа;A2
die Strategie;21.59;стратегия;A2
die Stufe;21.61;ступень;A2
die Theatervorstellung;21.62;театральное представление;A2
die Weißwurst;21.62;белая колбаса;A2
die Universitätsklinik;21.63;университетская клиника;A2
die Variante;21.63;вариант;A2
die Verbrechensrate;21.64;уровень преступности;A2
die Suche;21.67;поиск;A2
die Sorge;21.72;забота, беспокойство;A2
die Tageszeitung;21.72;ежедневная газета;A2
die Schule;21.72;школа;A1
die Verkaufszahl;21.73;объём продаж;A2
die Stimmung;21.74;настроение;A2
die Trauer;21.74;траур, скорбь;A2
die Tendenz;21.76;тенденция;A2
die Waschtemperatur;21.77;температура стирки;A2
die Urlaubszeit;21.77;время отпуска;A2
die Treue;21.79;верность;A2
die Wunderwaffe;21.81;чудо-оружие;A2
die Steuer;21.83;налог;A2
die Vollpension;21.84;полный пансион;A2
die Unterlage;21.86;документ;A2
die Tante;21.92;тётя;A2
die Videokamera;21.92;видеокамера;A2
die Umfrage;21.93;опрос;A2
die Unterwäsche;21.94;нижнее бельё;A2
die Wassermenge;21.96;объём воды;A2
die Überhitzung;21.98;перегрев;A2
die Umgebung;22.01;окрестность;A2
die Verschmutzung;22.01;загрязнение;A2
die Unterrichtsstunde;22.03;урок;A2
die Volksmusik;22.04;народная музыка;A2
die Ärztevereinigung;22.07;объединение врачей;A2
die Verhandlung;22.08;переговоры;A2
die Weiterfahrt;22.09;дальнейшая поездка;A2
die Wellness;22.11;велнесс;A2
die Verfassung;22.11;конституция, состояние;A2
die Unterkunft;22.12;жильё;A2
die Verwandtschaft;22.13;родственники;A2
die Vermutung;22.14;предположение;A2
die Vollzeit;22.14;полная занятость;A2
die Veranstaltung;22.16;мероприятие;A2
die Wohnform;22.16;форма проживания;A2
die Zukunftsaussicht;22.18;перспектива;A2
die Volkshochschule;22.18;народный университет;A2
die Umwelt;22.26;окружающая среда;A2
die Weile;22.27;некоторое время;A2
die Unterstützung;22.27;поддержка;A2
die Wolle;22.27;шерсть;A2
die Vielzahl;22.29;множество;A2
die Wende;22.31;поворот;A2
die Untersuchung;22.34;исследование, обследование;A2
die Zauberflöte;22.34;Волшебная флейта;A2
die Wirksamkeit;22.36;эффективность;A2
die Vorlesung;22.38;лекция;A2
die Wiese;22.38;луг;A2
die Zensur;22.41;цензура;A2
die Ware;22.41;товар;A2
die Verpackung;22.43;упаковка;A2
die Windenergie;22.44;ветровая энергия;A2
die Wespe;22.53;оса;A2
die Zeitdauer;22.53;продолжительность;A2
die Waffe;22.73;оружие;A2
die Weltreise;22.76;кругосветное путешествие;A2
die Zusatzkosten;22.81;дополнительные расходы;A2
die Wohnfläche;22.88;жилая площадь;A2
die Welle;22.88;волна;A2
die Wahl;22.89;выбор, выборы;A2
die Zuhörerin;22.91;слушательница;A2
die Überschwemmung;22.96;наводнение;A2
die Wahrheit;23.01;правда;A2
die Zutat;23.02;ингредиент;A2
die Zeugin;23.06;свидетельница;A2
die Wirkung;23.07;действие, эффект;A2
die Werbung;23.09;реклама;A2
die Übersicht;23.09;обзор;A2
die Öffentlichkeit;23.11;общественность;A2
die Zustimmung;23.14;согласие;A2
die Überschrift;23.18;заголовок;A2
die Zubereitung;23.19;приготовление;A2
die Zahnbürste;23.21;зубная щётка;A2
die Zusammenarbeit;23.26;сотрудничество;A2
die Wirtschaft;23.28;экономика;A2
die Welt;23.42;мир;A2